wind_speed,sealevel_pressure,old_station_type,station_type,sky_condition,wind_direction,sky_condition_top,visibility,datetime,wind_direction_cardinal,relative_humidity,hourly_precip,drybulb_fahrenheit,report_type,dewpoint_fahrenheit,station_pressure,weather_types,wetbulb_fahrenheit,wban_code
3,30.090000,"",11,OVC028,010,OVC028,3,2014-01-31T23:51:00,N,78,0.010000,22,AA,16,29.340000,[[- <nil> <nil> SN <nil> <nil>]],20,94846
0,"","",11,OVC036,"",OVC036,3,2014-01-31T22:51:00,"",81,0.005000,21,AA,16,29.350000,[[- <nil> <nil> SN <nil> <nil>]],20,94846
0,30.110000,"",11,OVC036,"",OVC036,6,2014-01-31T21:51:00,"",68,0.005000,22,AA,13,29.370000,[[- <nil> <nil> SN <nil> <nil>]],19,94846
0,30.120000,"",11,OVC065,"",OVC065,10,2014-01-31T20:51:00,"",60,"",23,AA,11,29.370000,"",20,94846
0,30.120000,"",11,FEW039 BKN110 OVC250,"",OVC250,10,2014-01-31T19:51:00,"",63,"",22,AA,11,29.370000,"",19,94846
0,30.130000,"",11,FEW043 SCT110 BKN130,"",BKN130,10,2014-01-31T18:51:00,"",57,"",22,AA,9,29.380000,"",18,94846
5,30.120000,"",11,FEW060 BKN120 OVC250,260,OVC250,10,2014-01-31T17:51:00,W,57,"",22,AA,9,29.370000,"",18,94846
3,30.120000,"",11,OVC070,270,OVC070,10,2014-01-31T16:51:00,W,57,"",23,AA,10,29.370000,"",19,94846
6,30.140000,"",11,OVC070,270,OVC070,10,2014-01-31T15:51:00,W,57,"",23,AA,10,29.390000,"",19,94846
7,30.120000,"",11,FEW100 SCT210 OVC250,250,OVC250,10,2014-01-31T14:51:00,WSW,55,"",23,AA,9,29.370000,"",19,94846
8,30.140000,"",11,BKN085 OVC250,260,OVC250,10,2014-01-31T13:51:00,W,52,"",23,AA,8,29.390000,"",19,94846
6,30.140000,"",11,FEW075 OVC250,230,OVC250,10,2014-01-31T12:51:00,SW,55,"",23,AA,9,29.390000,"",19,94846
8,30.160000,"",11,FEW100 OVC250,240,OVC250,10,2014-01-31T11:51:00,WSW,55,"",21,AA,7,29.410000,"",17,94846
0,30.170000,"",11,FEW110 OVC250,"",OVC250,10,2014-01-31T10:51:00,"",54,"",19,AA,5,29.410000,"",16,94846
0,30.150000,"",11,OVC250,"",OVC250,10,2014-01-31T09:51:00,"",52,"",19,AA,4,29.390000,"",15,94846
6,30.140000,"",11,OVC250,360,OVC250,10,2014-01-31T08:51:00,N,54,"",17,AA,3,29.390000,"",14,94846
5,30.100000,"",11,SCT120 OVC250,330,OVC250,10,2014-01-31T07:51:00,NNW,54,"",17,AA,3,29.360000,"",14,94846
9,30.080000,"",11,SCT140 OVC250,330,OVC250,10,2014-01-31T06:51:00,NNW,59,"",18,AA,6,29.330000,"",15,94846
9,30.060000,"",11,FEW200 OVC250,330,OVC250,10,2014-01-31T05:51:00,NNW,59,"",18,AA,6,29.310000,"",15,94846
9,30.030000,"",11,OVC250,330,OVC250,10,2014-01-31T04:51:00,NNW,68,"",20,AA,11,29.290000,"",18,94846
10,30,"",11,OVC150,300,OVC150,10,2014-01-31T03:51:00,WNW,68,"",21,AA,12,29.260000,"",18,94846
9,30,"",11,OVC180,330,OVC180,10,2014-01-31T02:51:00,NNW,68,"",23,AA,14,29.260000,"",20,94846
13,29.970000,"",11,SCT220 OVC250,310,OVC250,10,2014-01-31T01:51:00,NW,71,"",24,AA,16,29.230000,"",22,94846
10,29.930000,"",11,FEW033 SCT210 BKN240,270,BKN240,10,2014-01-31T00:51:00,W,72,"",25,AA,17,29.190000,"",22,94846
10,29.900000,"",11,OVC033,270,OVC033,10,2014-01-30T23:51:00,W,69,"",29,AA,20,29.160000,"",26,94846
13,29.860000,"",11,FEW016 OVC031,270,OVC031,10,2014-01-30T22:51:00,W,69,"",31,AA,22,29.120000,"",28,94846
14,29.830000,"",11,FEW018 OVC033,250,OVC033,10,2014-01-30T21:51:00,WSW,72,"",32,AA,24,29.090000,"",29,94846
13,29.800000,"",11,OVC027,240,OVC027,10,2014-01-30T20:51:00,WSW,70,"",33,AA,24,29.060000,"",30,94846
