census_tra,dt,hournumber,ViolentCrime -E,Assault -E,Robbery -E,date
10100,2015-07-16 00:00:00,0,0.911,0.716,0.759,2015-07-16
10200,2015-07-16 00:00:00,0,0.911,0.823,0.852,2015-07-16
10300,2015-07-16 00:00:00,0,0.654,0.484,0.731,2015-07-16
10400,2015-07-16 00:00:00,0,0.662,0.249,0.544,2015-07-16
10500,2015-07-16 00:00:00,0,0.765,0.598,0.83,2015-07-16
10600,2015-07-16 00:00:00,0,0.762,0.757,0.765,2015-07-16
10700,2015-07-16 00:00:00,0,0.884,0.624,0.825,2015-07-16
10800,2015-07-16 00:00:00,0,0.632,0.549,0.534,2015-07-16
10900,2015-07-16 00:00:00,0,0.34,0.204,0.375,2015-07-16
20100,2015-07-16 00:00:00,0,0.507,0.209,0.327,2015-07-16
20200,2015-07-16 00:00:00,0,0.394,0.352,0.414,2015-07-16
20300,2015-07-16 00:00:00,0,0.522,0.407,0.379,2015-07-16
20400,2015-07-16 00:00:00,0,0.196,0.088,0.455,2015-07-16
20500,2015-07-16 00:00:00,0,0.745,0.62,0.736,2015-07-16
20600,2015-07-16 00:00:00,0,0.643,0.647,0.678,2015-07-16
20700,2015-07-16 00:00:00,0,0.646,0.472,0.607,2015-07-16
20800,2015-07-16 00:00:00,0,0.885,0.737,0.735,2015-07-16
20900,2015-07-16 00:00:00,0,0.77,0.687,0.78,2015-07-16
30100,2015-07-16 00:00:00,0,0.87,0.716,0.736,2015-07-16
30200,2015-07-16 00:00:00,0,0.515,0.247,0.565,2015-07-16
30300,2015-07-16 00:00:00,0,0.453,0.315,0.253,2015-07-16
30400,2015-07-16 00:00:00,0,0.37,0.166,0.122,2015-07-16
30500,2015-07-16 00:00:00,0,0.568,0.323,0.546,2015-07-16
30600,2015-07-16 00:00:00,0,0.735,0.717,0.666,2015-07-16
30700,2015-07-16 00:00:00,0,0.745,0.585,0.726,2015-07-16
30800,2015-07-16 00:00:00,0,0.465,0.143,0.553,2015-07-16
30900,2015-07-16 00:00:00,0,0.235,0.219,0.237,2015-07-16
31000,2015-07-16 00:00:00,0,0.216,0.258,0.298,2015-07-16
31100,2015-07-16 00:00:00,0,0.428,0.317,0.425,2015-07-16
31200,2015-07-16 00:00:00,0,0.854,0.765,0.746,2015-07-16
