"census_tra","year","hournumber","dt","shooting_count","robbery_count","assault_count","hourstart","wind_speed","drybulb_fahrenheit","hourly_precip","relative_humidity","fz","ra","ts","br","sn","hz","dz","pl","fg","sa","up","fu","sq","gs","dod1_drybulb_fahrenheit","dod2_drybulb_fahrenheit","dod3_drybulb_fahrenheit","wow1_drybulb_fahrenheit","wow2_drybulb_fahrenheit","precip_hour_cnt_in_last_1_day","precip_hour_cnt_in_last_3_day","precip_hour_cnt_in_last_1_week","hour_count_since_precip"
0,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
10100,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
10200,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
10300,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
10400,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
10500,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
10600,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
10700,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
10800,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
10900,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
20100,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
20200,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
20300,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
20400,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
20500,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
20600,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
20700,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
20800,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
20900,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
30100,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
30200,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
30300,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
30400,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
30500,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
30600,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
30700,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
30800,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
30900,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
31000,2008,0,"2008-01-01",0,0,0,"2008-01-01 00:00:00",17.8333,28.1667,0.005,88.8333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-2.0333,5.4167,-2.1666,2.8334,8.5,11,17,36,0
